title,price,location,surface,rooms,baths,link
Appartement à vendre 80 m² à Oujda,400000,"Appartements dans Oujda, Centre Ville",appartement à vendre 80 m² à oujda,2 chambres,1 sdb,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Oujda_54392947.htm
APPART 91m 2FACES vue piscine à MARBELLA BEACH,1030000,"Appartements dans Mohammedia, Autre secteur",91 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/autre_secteur/appartements/APPART_91m_2FACES_vue_piscine_%C3%A0_MARBELLA_BEACH_57747136.htm
Appartement 98m² chouka à vendre Fouarat Casa,950000,"Appartements dans Casablanca, Hay Mohammadi",147 m²,3 chambres,1 sdb,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_98m%C2%B2_chouka_%C3%A0_vendre_Fouarat_Casa_56770374.htm
Appartement vide à vendre sur la Route de Rabat,1232500,"Appartements dans Tanger, Autre secteur",,3 chambres,2 sdbs,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_vide_%C3%A0_vendre_sur_la_Route_de_Rabat_56652097.htm
Appartement 138m² au 2ème étg au Maârif,1800000,"Appartements dans Casablanca, Maarif",138 m²,3 chambres,3 sdbs,https://www.avito.ma/fr/maarif/appartements/Appartement_138m%C2%B2_au_2%C3%A8me_%C3%A9tg_au_Ma%C3%A2rif_55941961.htm
Appartement d’exception front mer- Tamaris Premium,2000000,"Appartements dans Tamaris, Toute la ville",117 m²,2 chambres,1 sdb,https://www.avito.ma/fr/tamaris/appartements/Appartement_d_exception_front_mer__Tamaris_Premium_57728469.htm
"Appartement 124 m² – Centre Ville, Tanger",1800000,"Appartements dans Tanger, Centre ville",124 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/centre_ville/appartements/Appartement_124_m%C2%B2___Centre_Ville__Tanger_57723798.htm
Appartement à vendre 145 m² à la marina casablanca,3900000,"Appartements dans Tanger, Autre secteur",155 m²,2 chambres,3 sdbs,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_145_m%C2%B2_%C3%A0_la_marina_casablanca_56472283.htm
Appartement à vendre CGI à Oujda,330000,"Appartements dans Oujda, CGI",,5 chambres,1 sdb,https://www.avito.ma/fr/cgi/appartements/Appartement_%C3%A0_vendre_CGI_%C3%A0_Oujda_54393879.htm
Appartement à vendre 110 m2 à Saïdia,750000,"Appartements dans Saidia, Toute la ville",110 m²,2 chambres,1 sdb,https://www.avito.ma/fr/saidia/appartements/Appartement_%C3%A0_vendre_110_m2_%C3%A0_Sa%C3%AFdia_57839494.htm
